Product,Channel,sales_date,sales
Product A,Channel 1,3/1/19,1148
Product A,Channel 1,3/2/19,212
Product A,Channel 1,3/3/19,109
Product A,Channel 1,3/4/19,1130
Product A,Channel 1,3/5/19,1148
Product A,Channel 1,3/6/19,1141
Product A,Channel 1,3/7/19,1169
Product A,Channel 1,3/8/19,1097
Product A,Channel 1,3/9/19,235
Product A,Channel 1,3/10/19,111
Product A,Channel 1,3/11/19,1170
Product A,Channel 1,3/12/19,1131
Product A,Channel 1,3/13/19,1173
Product A,Channel 1,3/14/19,1201
Product A,Channel 1,3/15/19,1193
Product A,Channel 1,3/16/19,238
Product A,Channel 1,3/17/19,111
Product A,Channel 1,3/18/19,1214
Product A,Channel 1,3/19/19,1168
Product A,Channel 1,3/20/19,1216
Product A,Channel 1,3/21/19,1204
Product A,Channel 1,3/22/19,1211
Product A,Channel 1,3/23/19,248
Product A,Channel 1,3/24/19,123
Product A,Channel 1,3/25/19,1237
Product A,Channel 1,3/26/19,1248
Product A,Channel 1,3/27/19,1262
Product A,Channel 1,3/28/19,1302
Product A,Channel 1,3/29/19,1237
Product A,Channel 1,3/30/19,252
Product A,Channel 1,3/31/19,129
Product A,Channel 1,4/1/19,1456
Product A,Channel 1,4/2/19,1474
Product A,Channel 1,4/3/19,1467
Product A,Channel 1,4/4/19,1506
Product A,Channel 1,4/5/19,1509
Product A,Channel 1,4/6/19,295
Product A,Channel 1,4/7/19,151
Product A,Channel 1,4/8/19,1465
Product A,Channel 1,4/9/19,1555
Product A,Channel 1,4/10/19,1544
Product A,Channel 1,4/11/19,1586
Product A,Channel 1,4/12/19,1518
Product A,Channel 1,4/13/19,301
Product A,Channel 1,4/14/19,155
Product A,Channel 1,4/15/19,1505
Product A,Channel 1,4/16/19,1550
Product A,Channel 1,4/17/19,1522
Product A,Channel 1,4/18/19,1576
Product A,Channel 1,4/19/19,1736
Product A,Channel 1,4/20/19,309
Product A,Channel 1,4/21/19,155
Product A,Channel 1,4/22/19,1600
Product A,Channel 1,4/23/19,1675
Product A,Channel 1,4/24/19,1541
Product A,Channel 1,4/25/19,1680
Product A,Channel 1,4/26/19,1771
Product A,Channel 1,4/27/19,318
Product A,Channel 1,4/28/19,168
Product A,Channel 1,4/29/19,1548
Product A,Channel 1,4/30/19,1681
Product A,Channel 1,5/1/19,1885
Product A,Channel 1,5/2/19,1866
Product A,Channel 1,5/3/19,1824
Product A,Channel 1,5/4/19,355
Product A,Channel 1,5/5/19,184
Product A,Channel 1,5/6/19,1802
Product A,Channel 1,5/7/19,1852
Product A,Channel 1,5/8/19,1854
Product A,Channel 1,5/9/19,1945
Product A,Channel 1,5/10/19,1920
Product A,Channel 1,5/11/19,367
Product A,Channel 1,5/12/19,194
Product A,Channel 1,5/13/19,1881
Product A,Channel 1,5/14/19,1932
Product A,Channel 1,5/15/19,1928
Product A,Channel 1,5/16/19,1979
Product A,Channel 1,5/17/19,1935
Product A,Channel 1,5/18/19,385
Product A,Channel 1,5/19/19,200
Product A,Channel 1,5/20/19,2049
Product A,Channel 1,5/21/19,1908
Product A,Channel 1,5/22/19,2044
Product A,Channel 1,5/23/19,1999
Product A,Channel 1,5/24/19,1971
Product A,Channel 1,5/25/19,378
Product A,Channel 1,5/26/19,191
Product A,Channel 1,5/27/19,1952
Product A,Channel 1,5/28/19,2006
Product A,Channel 1,5/29/19,2022
Product A,Channel 1,5/30/19,2065
Product A,Channel 1,5/31/19,2065
Product A,Channel 1,6/1/19,448
Product A,Channel 1,6/2/19,223
Product A,Channel 1,6/3/19,2255
Product A,Channel 1,6/4/19,2226
Product A,Channel 1,6/5/19,2356
Product A,Channel 1,6/6/19,2199
Product A,Channel 1,6/7/19,2388
Product A,Channel 1,6/8/19,463
Product A,Channel 1,6/9/19,240
Product A,Channel 1,6/10/19,2243
Product A,Channel 1,6/11/19,2270
Product A,Channel 1,6/12/19,2378
Product A,Channel 1,6/13/19,2275
Product A,Channel 1,6/14/19,2426
Product A,Channel 1,6/15/19,481
Product A,Channel 1,6/16/19,226
Product A,Channel 1,6/17/19,2364
Product A,Channel 1,6/18/19,2568
Product A,Channel 1,6/19/19,2481
Product A,Channel 1,6/20/19,2542
Product A,Channel 1,6/21/19,2347
Product A,Channel 1,6/22/19,481
Product A,Channel 1,6/23/19,233
Product A,Channel 1,6/24/19,2507
Product A,Channel 1,6/25/19,2516
Product A,Channel 1,6/26/19,2572
Product A,Channel 1,6/27/19,2613
Product A,Channel 1,6/28/19,2467
Product A,Channel 1,6/29/19,496
Product A,Channel 1,6/30/19,257
Product A,Channel 1,7/1/19,2241
Product A,Channel 1,7/2/19,2241
Product A,Channel 1,7/3/19,2463
Product A,Channel 1,7/4/19,2436
Product A,Channel 1,7/5/19,2426
Product A,Channel 1,7/6/19,464
Product A,Channel 1,7/7/19,230
Product A,Channel 1,7/8/19,2315
Product A,Channel 1,7/9/19,2482
Product A,Channel 1,7/10/19,2344
Product A,Channel 1,7/11/19,2346
Product A,Channel 1,7/12/19,2405
Product A,Channel 1,7/13/19,463
Product A,Channel 1,7/14/19,237
Product A,Channel 1,7/15/19,2303
Product A,Channel 1,7/16/19,2473
Product A,Channel 1,7/17/19,2491
Product A,Channel 1,7/18/19,2735
Product A,Channel 1,7/19/19,2444
Product A,Channel 1,7/20/19,478
Product A,Channel 1,7/21/19,248
Product A,Channel 1,7/22/19,2555
Product A,Channel 1,7/23/19,2593
Product A,Channel 1,7/24/19,2518
Product A,Channel 1,7/25/19,2742
Product A,Channel 1,7/26/19,2455
Product A,Channel 1,7/27/19,516
Product A,Channel 1,7/28/19,251
Product A,Channel 1,7/29/19,2442
Product A,Channel 1,7/30/19,2521
Product A,Channel 1,7/31/19,2520
Product A,Channel 1,8/1/19,2498
Product A,Channel 1,8/2/19,2383
Product A,Channel 1,8/3/19,480
Product A,Channel 1,8/4/19,234
Product A,Channel 1,8/5/19,2333
Product A,Channel 1,8/6/19,2330
Product A,Channel 1,8/7/19,2431
Product A,Channel 1,8/8/19,2391
Product A,Channel 1,8/9/19,2302
Product A,Channel 1,8/10/19,488
Product A,Channel 1,8/11/19,240
Product A,Channel 1,8/12/19,2365
Product A,Channel 1,8/13/19,2517
Product A,Channel 1,8/14/19,2599
Product A,Channel 1,8/15/19,2568
Product A,Channel 1,8/16/19,2400
Product A,Channel 1,8/17/19,450
Product A,Channel 1,8/18/19,252
Product A,Channel 1,8/19/19,2668
Product A,Channel 1,8/20/19,2416
Product A,Channel 1,8/21/19,2618
Product A,Channel 1,8/22/19,2500
Product A,Channel 1,8/23/19,2510
Product A,Channel 1,8/24/19,509
Product A,Channel 1,8/25/19,250
Product A,Channel 1,8/26/19,2497
Product A,Channel 1,8/27/19,2470
Product A,Channel 1,8/28/19,2612
Product A,Channel 1,8/29/19,2598
Product A,Channel 1,8/30/19,2549
Product A,Channel 1,8/31/19,520
Product A,Channel 1,9/1/19,236
Product A,Channel 1,9/2/19,2366
Product A,Channel 1,9/3/19,2320
Product A,Channel 1,9/4/19,2405
Product A,Channel 1,9/5/19,2535
Product A,Channel 1,9/6/19,2429
Product A,Channel 1,9/7/19,468
Product A,Channel 1,9/8/19,247
Product A,Channel 1,9/9/19,2363
Product A,Channel 1,9/10/19,2388
Product A,Channel 1,9/11/19,2465
Product A,Channel 1,9/12/19,2476
Product A,Channel 1,9/13/19,2522
Product A,Channel 1,9/14/19,486
Product A,Channel 1,9/15/19,232
Product A,Channel 1,9/16/19,2352
Product A,Channel 1,9/17/19,2353
Product A,Channel 1,9/18/19,2550
Product A,Channel 1,9/19/19,2502
Product A,Channel 1,9/20/19,2661
Product A,Channel 1,9/21/19,507
Product A,Channel 1,9/22/19,254
Product A,Channel 1,9/23/19,2662
Product A,Channel 1,9/24/19,2621
Product A,Channel 1,9/25/19,2446
Product A,Channel 1,9/26/19,2681
Product A,Channel 1,9/27/19,2383
Product A,Channel 1,9/28/19,520
Product A,Channel 1,9/29/19,270
Product A,Channel 1,9/30/19,2487
Product A,Channel 1,10/1/19,3739
Product A,Channel 1,10/2/19,3914
Product A,Channel 1,10/3/19,3904
Product A,Channel 1,10/4/19,3882
Product A,Channel 1,10/5/19,756
Product A,Channel 1,10/6/19,383
Product A,Channel 1,10/7/19,3940
Product A,Channel 1,10/8/19,3813
Product A,Channel 1,10/9/19,4156
Product A,Channel 1,10/10/19,4208
Product A,Channel 1,10/11/19,3952
Product A,Channel 1,10/12/19,819
Product A,Channel 1,10/13/19,418
Product A,Channel 1,10/14/19,3909
Product A,Channel 1,10/15/19,3957
Product A,Channel 1,10/16/19,3916
Product A,Channel 1,10/17/19,4174
Product A,Channel 1,10/18/19,3871
Product A,Channel 1,10/19/19,777
Product A,Channel 1,10/20/19,405
Product A,Channel 1,10/21/19,3981
Product A,Channel 1,10/22/19,4156
Product A,Channel 1,10/23/19,4099
Product A,Channel 1,10/24/19,4030
Product A,Channel 1,10/25/19,4000
Product A,Channel 1,10/26/19,794
Product A,Channel 1,10/27/19,417
Product A,Channel 1,10/28/19,3981
Product A,Channel 1,10/29/19,4197
Product A,Channel 1,10/30/19,4401
Product A,Channel 1,10/31/19,4372
Product A,Channel 1,11/1/19,7696
Product A,Channel 1,11/2/19,1379
Product A,Channel 1,11/3/19,727
Product A,Channel 1,11/4/19,7240
Product A,Channel 1,11/5/19,6661
Product A,Channel 1,11/6/19,7193
Product A,Channel 1,11/7/19,6983
Product A,Channel 1,11/8/19,6977
Product A,Channel 1,11/9/19,1416
Product A,Channel 1,11/10/19,759
Product A,Channel 1,11/11/19,7388
Product A,Channel 1,11/12/19,7286
Product A,Channel 1,11/13/19,7999
Product A,Channel 1,11/14/19,7698
Product A,Channel 1,11/15/19,7154
Product A,Channel 1,11/16/19,1401
Product A,Channel 1,11/17/19,725
Product A,Channel 1,11/18/19,7281
Product A,Channel 1,11/19/19,7298
Product A,Channel 1,11/20/19,7667
Product A,Channel 1,11/21/19,7370
Product A,Channel 1,11/22/19,7257
Product A,Channel 1,11/23/19,1511
Product A,Channel 1,11/24/19,704
Product A,Channel 1,11/25/19,7412
Product A,Channel 1,11/26/19,7481
Product A,Channel 1,11/27/19,7735
Product A,Channel 1,11/28/19,7398
Product A,Channel 1,11/29/19,7798
Product A,Channel 1,11/30/19,1412
Product A,Channel 1,12/1/19,595
Product A,Channel 1,12/2/19,5943
Product A,Channel 1,12/3/19,5770
Product A,Channel 1,12/4/19,6006
Product A,Channel 1,12/5/19,6264
Product A,Channel 1,12/6/19,5834
Product A,Channel 1,12/7/19,1210
Product A,Channel 1,12/8/19,566
Product A,Channel 1,12/9/19,5998
Product A,Channel 1,12/10/19,5991
Product A,Channel 1,12/11/19,6040
Product A,Channel 1,12/12/19,6674
Product A,Channel 1,12/13/19,6388
Product A,Channel 1,12/14/19,1159
Product A,Channel 1,12/15/19,623
Product A,Channel 1,12/16/19,5937
Product A,Channel 1,12/17/19,6088
Product A,Channel 1,12/18/19,6560
Product A,Channel 1,12/19/19,6456
Product A,Channel 1,12/20/19,6751
Product A,Channel 1,12/21/19,1233
Product A,Channel 1,12/22/19,650
Product A,Channel 1,12/23/19,6105
Product A,Channel 1,12/24/19,6160
Product A,Channel 1,12/25/19,6503
Product A,Channel 1,12/26/19,6606
Product A,Channel 1,12/27/19,6397
Product A,Channel 1,12/28/19,1226
Product A,Channel 1,12/29/19,671
Product A,Channel 1,12/30/19,6436
Product A,Channel 1,12/31/19,6165
Product A,Channel 1,1/1/20,2077
Product A,Channel 1,1/2/20,2467
Product A,Channel 1,1/3/20,2187
Product A,Channel 1,1/4/20,422
Product A,Channel 1,1/5/20,205
Product A,Channel 1,1/6/20,2155
Product A,Channel 1,1/7/20,2119
Product A,Channel 1,1/8/20,2333
Product A,Channel 1,1/9/20,2273
Product A,Channel 1,1/10/20,2248
Product A,Channel 1,1/11/20,438
Product A,Channel 1,1/12/20,203
Product A,Channel 1,1/13/20,2206
Product A,Channel 1,1/14/20,2223
Product A,Channel 1,1/15/20,2170
Product A,Channel 1,1/16/20,2273
Product A,Channel 1,1/17/20,2120
Product A,Channel 1,1/18/20,413
Product A,Channel 1,1/19/20,212
Product A,Channel 1,1/20/20,2118
Product A,Channel 1,1/21/20,2145
Product A,Channel 1,1/22/20,2219
Product A,Channel 1,1/23/20,2298
Product A,Channel 1,1/24/20,2288
Product A,Channel 1,1/25/20,431
Product A,Channel 1,1/26/20,218
Product A,Channel 1,1/27/20,2257
Product A,Channel 1,1/28/20,2323
Product A,Channel 1,1/29/20,2231
Product A,Channel 1,1/30/20,2336
Product A,Channel 1,1/31/20,2273
Product A,Channel 1,2/1/20,535
Product A,Channel 1,2/2/20,257
Product A,Channel 1,2/3/20,2456
Product A,Channel 1,2/4/20,2543
Product A,Channel 1,2/5/20,2601
Product A,Channel 1,2/6/20,2692
Product A,Channel 1,2/7/20,2660
Product A,Channel 1,2/8/20,514
Product A,Channel 1,2/9/20,264
Product A,Channel 1,2/10/20,2549
Product A,Channel 1,2/11/20,2660
Product A,Channel 1,2/12/20,2775
Product A,Channel 1,2/13/20,2915
Product A,Channel 1,2/14/20,2632
Product A,Channel 1,2/15/20,537
Product A,Channel 1,2/16/20,251
Product A,Channel 1,2/17/20,2613
Product A,Channel 1,2/18/20,2478
Product A,Channel 1,2/19/20,2750
Product A,Channel 1,2/20/20,2572
Product A,Channel 1,2/21/20,2564
Product A,Channel 1,2/22/20,506
Product A,Channel 1,2/23/20,260
Product A,Channel 1,2/24/20,2598
Product A,Channel 1,2/25/20,2605
Product A,Channel 1,2/26/20,2789
Product A,Channel 1,2/27/20,2746
Product A,Channel 1,2/28/20,2824
Product A,Channel 1,2/29/20,530
Product A,Channel 1,3/1/20,287
Product A,Channel 1,3/2/20,2946
Product A,Channel 1,3/3/20,3118
Product A,Channel 1,3/4/20,2961
Product A,Channel 1,3/5/20,3044
Product A,Channel 1,3/6/20,2929
Product A,Channel 1,3/7/20,639
Product A,Channel 1,3/8/20,310
Product A,Channel 1,3/9/20,2997
Product A,Channel 1,3/10/20,3034
Product A,Channel 1,3/11/20,3162
Product A,Channel 1,3/12/20,2942
Product A,Channel 1,3/13/20,2989
Product A,Channel 1,3/14/20,574
Product A,Channel 1,3/15/20,302
Product A,Channel 1,3/16/20,2976
Product A,Channel 1,3/17/20,3040
Product A,Channel 1,3/18/20,3217
Product A,Channel 1,3/19/20,3193
Product A,Channel 1,3/20/20,3123
Product A,Channel 1,3/21/20,600
Product A,Channel 1,3/22/20,309
Product A,Channel 1,3/23/20,3207
Product A,Channel 1,3/24/20,3106
Product A,Channel 1,3/25/20,3152
Product A,Channel 1,3/26/20,3238
Product A,Channel 1,3/27/20,3111
Product A,Channel 1,3/28/20,679
Product A,Channel 1,3/29/20,319
Product A,Channel 1,3/30/20,3093
Product A,Channel 1,3/31/20,3214
Product A,Channel 1,4/1/20,3521
Product A,Channel 1,4/2/20,3486
Product A,Channel 1,4/3/20,3527
Product A,Channel 1,4/4/20,707
Product A,Channel 1,4/5/20,372
Product A,Channel 1,4/6/20,3584
Product A,Channel 1,4/7/20,3647
Product A,Channel 1,4/8/20,3455
Product A,Channel 1,4/9/20,3786
Product A,Channel 1,4/10/20,3427
Product A,Channel 1,4/11/20,681
Product A,Channel 1,4/12/20,343
Product A,Channel 1,4/13/20,3435
Product A,Channel 1,4/14/20,3338
Product A,Channel 1,4/15/20,3713
Product A,Channel 1,4/16/20,3813
Product A,Channel 1,4/17/20,3591
Product A,Channel 1,4/18/20,736
Product A,Channel 1,4/19/20,357
Product A,Channel 1,4/20/20,3440
Product A,Channel 1,4/21/20,3533
Product A,Channel 1,4/22/20,3719
Product A,Channel 1,4/23/20,3760
Product A,Channel 1,4/24/20,3556
Product A,Channel 1,4/25/20,750
Product A,Channel 1,4/26/20,361
Product A,Channel 1,4/27/20,3556
Product A,Channel 1,4/28/20,3659
Product A,Channel 1,4/29/20,3635
Product A,Channel 1,4/30/20,3802
Product A,Channel 1,5/1/20,4120
Product A,Channel 1,5/2/20,800
Product A,Channel 1,5/3/20,394
Product A,Channel 1,5/4/20,4125
Product A,Channel 1,5/5/20,4158
Product A,Channel 1,5/6/20,4032
Product A,Channel 1,5/7/20,4083
Product A,Channel 1,5/8/20,4099
Product A,Channel 1,5/9/20,805
Product A,Channel 1,5/10/20,412
Product A,Channel 1,5/11/20,3855
Product A,Channel 1,5/12/20,4136
Product A,Channel 1,5/13/20,3904
Product A,Channel 1,5/14/20,4111
Product A,Channel 1,5/15/20,4312
Product A,Channel 1,5/16/20,877
Product A,Channel 1,5/17/20,378
Product A,Channel 1,5/18/20,4369
Product A,Channel 1,5/19/20,4320
Product A,Channel 1,5/20/20,4210
Product A,Channel 1,5/21/20,4136
Product A,Channel 1,5/22/20,4132
Product A,Channel 1,5/23/20,871
Product A,Channel 1,5/24/20,411
Product A,Channel 1,5/25/20,4065
Product A,Channel 1,5/26/20,4408
Product A,Channel 1,5/27/20,4120
Product A,Channel 1,5/28/20,4315
Product A,Channel 1,5/29/20,4309
Product A,Channel 1,5/30/20,854
Product A,Channel 1,5/31/20,442
Product A,Channel 1,6/1/20,4910
Product A,Channel 1,6/2/20,4462
Product A,Channel 1,6/3/20,4689
Product A,Channel 1,6/4/20,4654
Product A,Channel 1,6/5/20,4940
Product A,Channel 1,6/6/20,907
Product A,Channel 1,6/7/20,497
Product A,Channel 1,6/8/20,4510
Product A,Channel 1,6/9/20,4523
Product A,Channel 1,6/10/20,4655
Product A,Channel 1,6/11/20,5096
Product A,Channel 1,6/12/20,4632
Product A,Channel 1,6/13/20,893
Product A,Channel 1,6/14/20,480
Product A,Channel 1,6/15/20,4761
Product A,Channel 1,6/16/20,4535
Product A,Channel 1,6/17/20,4883
Product A,Channel 1,6/18/20,4702
Product A,Channel 1,6/19/20,4939
Product A,Channel 1,6/20/20,943
Product A,Channel 1,6/21/20,488
Product A,Channel 1,6/22/20,4734
Product A,Channel 1,6/23/20,4704
Product A,Channel 1,6/24/20,4621
Product A,Channel 1,6/25/20,4949
Product A,Channel 1,6/26/20,4723
Product A,Channel 1,6/27/20,932
Product A,Channel 1,6/28/20,463
Product A,Channel 1,6/29/20,4641
Product A,Channel 1,6/30/20,4939
Product A,Channel 1,7/1/20,4376
Product A,Channel 1,7/2/20,4546
Product A,Channel 1,7/3/20,4329
Product A,Channel 1,7/4/20,858
Product A,Channel 1,7/5/20,447
Product A,Channel 1,7/6/20,4402
Product A,Channel 1,7/7/20,4921
Product A,Channel 1,7/8/20,4407
Product A,Channel 1,7/9/20,4549
Product A,Channel 1,7/10/20,4544
Product A,Channel 1,7/11/20,879
Product A,Channel 1,7/12/20,446
Product A,Channel 1,7/13/20,4309
Product A,Channel 1,7/14/20,4385
Product A,Channel 1,7/15/20,4439
Product A,Channel 1,7/16/20,4577
Product A,Channel 1,7/17/20,4590
Product A,Channel 1,7/18/20,917
Product A,Channel 1,7/19/20,429
Product A,Channel 1,7/20/20,4648
Product A,Channel 1,7/21/20,4710
Product A,Channel 1,7/22/20,4628
Product A,Channel 1,7/23/20,5067
Product A,Channel 1,7/24/20,4547
Product A,Channel 1,7/25/20,933
Product A,Channel 1,7/26/20,446
Product A,Channel 1,7/27/20,4545
Product A,Channel 1,7/28/20,4875
Product A,Channel 1,7/29/20,4835
Product A,Channel 1,7/30/20,4557
Product A,Channel 1,7/31/20,4766
Product A,Channel 1,8/1/20,849
Product A,Channel 1,8/2/20,418
Product A,Channel 1,8/3/20,4241
Product A,Channel 1,8/4/20,4175
Product A,Channel 1,8/5/20,4344
Product A,Channel 1,8/6/20,4468
Product A,Channel 1,8/7/20,4188
Product A,Channel 1,8/8/20,903
Product A,Channel 1,8/9/20,442
Product A,Channel 1,8/10/20,4379
Product A,Channel 1,8/11/20,4403
Product A,Channel 1,8/12/20,4414
Product A,Channel 1,8/13/20,4380
Product A,Channel 1,8/14/20,4094
Product A,Channel 1,8/15/20,841
Product A,Channel 1,8/16/20,429
Product A,Channel 1,8/17/20,4214
Product A,Channel 1,8/18/20,4421
Product A,Channel 1,8/19/20,4384
Product A,Channel 1,8/20/20,4422
Product A,Channel 1,8/21/20,4317
Product A,Channel 1,8/22/20,880
Product A,Channel 1,8/23/20,411
Product A,Channel 1,8/24/20,4213
Product A,Channel 1,8/25/20,4781
Product A,Channel 1,8/26/20,4459
Product A,Channel 1,8/27/20,4375
Product A,Channel 1,8/28/20,4376
Product A,Channel 1,8/29/20,863
Product A,Channel 1,8/30/20,468
Product A,Channel 1,8/31/20,4292
Product A,Channel 1,9/1/20,4036
Product A,Channel 1,9/2/20,4092
Product A,Channel 1,9/3/20,4339
Product A,Channel 1,9/4/20,4025
Product A,Channel 1,9/5/20,829
Product A,Channel 1,9/6/20,413
Product A,Channel 1,9/7/20,4110
Product A,Channel 1,9/8/20,4034
Product A,Channel 1,9/9/20,4061
Product A,Channel 1,9/10/20,4364
Product A,Channel 1,9/11/20,4365
Product A,Channel 1,9/12/20,826
Product A,Channel 1,9/13/20,402
Product A,Channel 1,9/14/20,4201
Product A,Channel 1,9/15/20,4256
Product A,Channel 1,9/16/20,4145
Product A,Channel 1,9/17/20,4753
Product A,Channel 1,9/18/20,4156
Product A,Channel 1,9/19/20,832
Product A,Channel 1,9/20/20,425
Product A,Channel 1,9/21/20,4435
Product A,Channel 1,9/22/20,4437
Product A,Channel 1,9/23/20,4003
Product A,Channel 1,9/24/20,4307
Product A,Channel 1,9/25/20,4303
Product A,Channel 1,9/26/20,874
Product A,Channel 1,9/27/20,402
Product A,Channel 1,9/28/20,4024
Product A,Channel 1,9/29/20,4456
Product A,Channel 1,9/30/20,4115
Product A,Channel 1,10/1/20,6529
Product A,Channel 1,10/2/20,6344
Product A,Channel 1,10/3/20,1242
Product A,Channel 1,10/4/20,639
Product A,Channel 1,10/5/20,6514
Product A,Channel 1,10/6/20,6274
Product A,Channel 1,10/7/20,7147
Product A,Channel 1,10/8/20,6407
Product A,Channel 1,10/9/20,6469
Product A,Channel 1,10/10/20,1256
Product A,Channel 1,10/11/20,633
Product A,Channel 1,10/12/20,6341
Product A,Channel 1,10/13/20,6216
Product A,Channel 1,10/14/20,6207
Product A,Channel 1,10/15/20,7233
Product A,Channel 1,10/16/20,6317
Product A,Channel 1,10/17/20,1257
Product A,Channel 1,10/18/20,628
Product A,Channel 1,10/19/20,6411
Product A,Channel 1,10/20/20,6385
Product A,Channel 1,10/21/20,6603
Product A,Channel 1,10/22/20,6914
Product A,Channel 1,10/23/20,6260
Product A,Channel 1,10/24/20,1329
Product A,Channel 1,10/25/20,666
Product A,Channel 1,10/26/20,6825
Product A,Channel 1,10/27/20,6692
Product A,Channel 1,10/28/20,6485
Product A,Channel 1,10/29/20,6802
Product A,Channel 1,10/30/20,6620
Product A,Channel 1,10/31/20,1310
Product A,Channel 1,11/1/20,1096
Product A,Channel 1,11/2/20,11099
Product A,Channel 1,11/3/20,11533
Product A,Channel 1,11/4/20,11080
Product A,Channel 1,11/5/20,10961
Product A,Channel 1,11/6/20,11578
Product A,Channel 1,11/7/20,2142
Product A,Channel 1,11/8/20,1120
Product A,Channel 1,11/9/20,10933
Product A,Channel 1,11/10/20,11212
Product A,Channel 1,11/11/20,11289
Product A,Channel 1,11/12/20,10847
Product A,Channel 1,11/13/20,11010
Product A,Channel 1,11/14/20,2194
Product A,Channel 1,11/15/20,1157
Product A,Channel 1,11/16/20,10667
Product A,Channel 1,11/17/20,11333
Product A,Channel 1,11/18/20,11322
Product A,Channel 1,11/19/20,11377
Product A,Channel 1,11/20/20,11363
Product A,Channel 1,11/21/20,2224
Product A,Channel 1,11/22/20,1105
Product A,Channel 1,11/23/20,11279
Product A,Channel 1,11/24/20,11820
Product A,Channel 1,11/25/20,11977
Product A,Channel 1,11/26/20,11645
Product A,Channel 1,11/27/20,11169
Product A,Channel 1,11/28/20,2340
Product A,Channel 1,11/29/20,1131
Product A,Channel 1,11/30/20,10970
Product A,Channel 1,12/1/20,9576
Product A,Channel 1,12/2/20,9006
Product A,Channel 1,12/3/20,9989
Product A,Channel 1,12/4/20,9127
Product A,Channel 1,12/5/20,1792
Product A,Channel 1,12/6/20,902
Product A,Channel 1,12/7/20,8627
Product A,Channel 1,12/8/20,9204
Product A,Channel 1,12/9/20,9613
Product A,Channel 1,12/10/20,10169
Product A,Channel 1,12/11/20,9178
Product A,Channel 1,12/12/20,1847
Product A,Channel 1,12/13/20,896
Product A,Channel 1,12/14/20,9631
Product A,Channel 1,12/15/20,9213
Product A,Channel 1,12/16/20,9371
Product A,Channel 1,12/17/20,9234
Product A,Channel 1,12/18/20,9549
Product A,Channel 1,12/19/20,1920
Product A,Channel 1,12/20/20,937
Product A,Channel 1,12/21/20,10055
Product A,Channel 1,12/22/20,9802
Product A,Channel 1,12/23/20,9982
Product A,Channel 1,12/24/20,9338
Product A,Channel 1,12/25/20,10050
Product A,Channel 1,12/26/20,1845
Product A,Channel 1,12/27/20,952
Product A,Channel 1,12/28/20,9407
Product A,Channel 1,12/29/20,10124
Product A,Channel 1,12/30/20,9742
Product A,Channel 1,12/31/20,10301
Product A,Channel 1,1/1/21,3482
Product A,Channel 1,1/2/21,653
Product A,Channel 1,1/3/21,344
Product A,Channel 1,1/4/21,3422
Product A,Channel 1,1/5/21,3394
Product A,Channel 1,1/6/21,3568
Product A,Channel 1,1/7/21,3530
Product A,Channel 1,1/8/21,3517
Product A,Channel 1,1/9/21,681
Product A,Channel 1,1/10/21,342
Product A,Channel 1,1/11/21,3378
Product A,Channel 1,1/12/21,3530
Product A,Channel 1,1/13/21,3634
Product A,Channel 1,1/14/21,3628
Product A,Channel 1,1/15/21,3546
Product A,Channel 1,1/16/21,725
